product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1.0;l;13.39;RON
P004;iaurt grecesc;lactate;Proxi;0.4;kg;11.74;RON
P007;ouă mărimea M;ouă;Din Ogradă;10.0;buc;12.88;RON
P010;brânză telemea;lactate;Proxi;0.3;kg;13.08;RON
P013;pâine albă;panificație;Proxi;500.0;g;3.71;RON
P016;roșii cherry;legume și fructe;Generic;250.0;g;8.96;RON
P019;piept pui;carne;Avicola;1.0;kg;27.6;RON
P020;spaghetti nr.5;paste făinoase;Barilla;500.0;g;6.08;RON
P023;zahăr tos;alimente de bază;Proxi;1.0;kg;4.64;RON
P024;apă plată;băuturi;Aqua Carpatica;2.0;l;5.46;RON
P027;banane;legume și fructe;Generic;1.0;kg;6.33;RON
P030;ulei floarea-soarelui;alimente de bază;Spornic;1.0;l;9.37;RON
P033;biscuiți cu unt;gustări;RoStar;0.2;kg;7.42;RON
P036;cafea măcinată;cafea;Tchibo;0.25;kg;22.66;RON
P039;detergent lichid;produse de menaj;Dero;2.5;l;50.37;RON
P042;șampon păr gras;îngrijire personală;Schauma;400.0;ml;18.03;RON
P045;hârtie igienică 3 straturi;produse de menaj;Motto;10.0;role;19.06;RON
P048;piper negru măcinat;condimente;Kamis;50.0;g;6.28;RON
P051;vin alb demisec;băuturi;Cotnari;0.75;l;23.69;RON
P054;ciocolată neagră 70%;gustări;Poiana;100.0;g;4.12;RON
P059;morcovi;legume și fructe;Generic;0.5;kg;2.68;RON
P067;orez bob lung;alimente de bază;Deroni;1.0;kg;8.24;RON
P068;iaurt de băut;lactate;Activia;0.33;kg;5.15;RON
P069;pastă de dinți;îngrijire personală;Colgate;100.0;ml;10.82;RON
P070;bere blondă;băuturi;Ursus;0.5;l;3.91;RON
